nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
         1  9.839159487E-10 -2.500000037E-02  0.000000000E+00  3.730876770E+02 
         2 -1.631527552E-10 -2.035816014E-02  0.000000000E+00  3.730958862E+02 
         3  7.396749879E-11 -1.615167223E-02  0.000000000E+00  3.731069336E+02 
         4  4.338384513E-11 -1.219676808E-02  0.000000000E+00  3.731170654E+02 
         5 -1.034719879E-11 -8.720454760E-03  0.000000000E+00  3.731244507E+02 
         6  5.480598614E-14 -5.612935405E-03  0.000000000E+00  3.731294250E+02 
         7  1.349198531E-11 -5.501045380E-03  0.000000000E+00  3.731295776E+02 
         8  6.434659749E-11 -2.388990717E-03  0.000000000E+00  3.731322021E+02 
         9 -9.836621101E-12 -3.428677737E-04  0.000000000E+00  3.731329041E+02 
        10 -4.060765613E-11  6.292788748E-05  0.000000000E+00  3.731329651E+02 
        11 -4.656991459E-11  3.070792882E-03  0.000000000E+00  3.731312866E+02 
        12  1.045631637E-11  5.433393642E-03  0.000000000E+00  3.731287231E+02 
        13 -4.603727122E-11  7.411433384E-03  0.000000000E+00  3.731259460E+02 
        14  2.644968411E-10  1.187863015E-02  0.000000000E+00  3.731170044E+02 
        15 -1.455686682E-10  1.613201760E-02  0.000000000E+00  3.731066895E+02 
        16  2.941424881E-12  2.033977211E-02  0.000000000E+00  3.730959167E+02 
        17 -2.950190980E-09  2.500000037E-02  0.000000000E+00  3.730876465E+02 
        18  9.052337768E-10 -2.500000037E-02  4.000000190E-03  3.730853882E+02 
        19  1.885042122E-11 -2.035816014E-02  4.000000190E-03  3.730961914E+02 
        20  7.396749879E-11 -1.615167223E-02  4.000000190E-03  3.731072388E+02 
        21 -1.100575187E-11 -1.219676901E-02  4.000000190E-03  3.731173401E+02 
        22  8.326457579E-12 -8.720454760E-03  4.000000190E-03  3.731248474E+02 
        23 -3.789836500E-11 -5.612935405E-03  4.000000190E-03  3.731297607E+02 
        24  3.895783696E-11 -5.501045380E-03  4.000000190E-03  3.731299133E+02 
        25  9.345042795E-11 -2.388990717E-03  4.000000190E-03  3.731325073E+02 
        26 -1.975350439E-12 -3.428676282E-04  4.000000190E-03  3.731332397E+02 
        27 -5.898892486E-13  6.292785110E-05  4.000000190E-03  3.731333313E+02 
        28 -4.848843549E-12  3.070792882E-03  4.000000190E-03  3.731316528E+02 
        29  6.983335438E-11  5.433393642E-03  4.000000190E-03  3.731291504E+02 
        30 -1.962492668E-12  7.411433384E-03  4.000000190E-03  3.731263733E+02 
        31  2.644968411E-10  1.187863015E-02  4.000000190E-03  3.731174316E+02 
        32 -8.736100732E-11  1.613201760E-02  4.000000190E-03  3.731070251E+02 
        33  8.297695864E-11  2.033977211E-02  4.000000190E-03  3.730961304E+02 
        34 -2.871508809E-09  2.500000037E-02  4.000000190E-03  3.730853882E+02 
        35  8.265516604E-10 -2.500000037E-02  8.000000380E-03  3.730854797E+02 
        36 -3.935723969E-11 -2.035816014E-02  8.000000380E-03  3.730964966E+02 
        37  7.396749879E-11 -1.615167223E-02  8.000000380E-03  3.731077271E+02 
        38 -7.603734309E-11 -1.219676808E-02  8.000000380E-03  3.731179199E+02 
